A man speaks with a low sad expression, keeping his gaze forward and steady. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A male vlogger talks naturally, under a amplified overwhelmed expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #overwhelmed_intense
A female vlogger speaks in a warm cadence, revealing a heightened overwhelmed look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #overwhelmed_intense
A male news anchor talks in a warm cadence, keeping a high overwhelmed expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #overwhelmed_intense
A female news anchor speaks with gentle emphasis, bearing a strong overwhelmed demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #overwhelmed_intense
A male professor talks with gentle emphasis, showing a very strong overwhelmed expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #overwhelmed_intense
A female professor speaks with bright energy, paired with a high-energy overwhelmed look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #overwhelmed_intense
A male customer support agent talks with bright energy, sustaining a amplified overwhelmed expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #overwhelmed_intense
A female customer support agent speaks with measured energy, featuring a heightened overwhelmed demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #overwhelmed_intense
A man talks with measured energy, with a low hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A woman speaks in short beats, keeping a subtle hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A boy talks in short beats, under a slight hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A girl speaks in linked phrases, holding a faint hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A lady talks in linked phrases, showing a low-key hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A gentleman speaks in a steady beat, with a low hopeless tone. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
An old man talks in a steady beat, presenting a subtle hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
An old woman speaks in a light cadence, carrying a slight hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A young man talks in a light cadence, revealing a faint hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A young woman speaks with poised delivery, with a low-key hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A middle-aged man talks with poised delivery, showing a low hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A middle-aged woman speaks with upbeat delivery, featuring a subtle hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
An elderly man talks with upbeat delivery, keeping a slight hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
An elderly woman speaks in a composed manner, wearing a faint hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A teen boy talks in a composed manner, sustaining a low-key hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A teen girl speaks in a confident manner, carrying a low hopeless tone. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male teacher talks in a confident manner, with a subtle hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female teacher speaks like a host, paired with a slight hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male doctor speaks like a teacher, marked by a faint hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female doctor speaks like a coach, showing a low-key hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male engineer speaks like a guide, with a low hopeless tone. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female engineer states the key line, under a subtle hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male student concludes a sentence, keeping a slight hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female student leads into the next line, holding a faint hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male athlete cues the next idea, revealing a low-key hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female athlete begins the thought, with a low hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male artist continues the thought, showing a subtle hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female artist finishes the thought, maintaining a slight hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male scientist speaks with a faint hopeless expression, keeping his gaze forward and steady. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female scientist continues speaking, a low-key hopeless tone shaping each line. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male singer talks with clear diction, showing a low hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female singer delivers a short line, marked by a subtle hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male presenter gives a brief remark, sustained by a slight hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female presenter speaks in an even cadence, carrying a faint hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male chef talks at a natural pace, with a low-key hopeless expression throughout. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female chef presents remarks, voice colored by a low hopeless tone. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male office worker narrates a sentence, maintaining a subtle hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female office worker explains the point, showing a slight hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male interviewer speaks with measured delivery, revealing a faint hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female interviewer talks with lively delivery, framed by a low-key hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male gamer shares a thought, under a low hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female gamer offers a line, the subtle hopeless tone consistent. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male vlogger continues a short monologue, keeping a slight hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female vlogger provides commentary, pairing it with a faint hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male news anchor outlines a point, with a low-key hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female news anchor introduces the next idea, keeping a low hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male professor makes a brief announcement, showing a subtle hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female professor speaks in concise phrases, under a slight hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A male customer support agent talks in steady phrases, with a faint hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A female customer support agent adds a sentence, voice carrying a low-key hopeless tone. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_subtle
A man elaborates briefly, maintaining a evident hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A woman comments succinctly, under a moderate hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A boy clarifies a detail, with a medium hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A girl speaks with crisp articulation, showing a noticeable hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A lady talks with soft articulation, holding a evident hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A gentleman speaks with steady voice, keeping a moderate hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
An old man talks with gentle voice, presenting a medium hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
An old woman speaks in a calm rhythm, under a noticeable hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A young man talks in a confident rhythm, showing a evident hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A young woman delivers a short statement, paired with a moderate hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A middle-aged man reads a line aloud, featuring a medium hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A middle-aged woman recites a brief line, with a noticeable hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
An elderly man speaks in brief clauses, keeping a evident hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
An elderly woman talks in brief clauses, maintaining a moderate hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A teen boy speaks as if presenting, marked by a medium hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A teen girl speaks as if briefing, with a noticeable hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A male teacher speaks as if teaching, under a evident hopeless tone. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A female teacher speaks as if hosting, carrying a moderate hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A male doctor recounts a line, revealing a medium hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A female doctor summarizes briefly, with a noticeable hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A male engineer paraphrases a point, showing a evident hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A female engineer emphasizes a word, the moderate hopeless tone evident. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A male student pauses, then continues speaking with a medium hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A female student enunciates carefully, carrying a noticeable hopeless look. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A male athlete articulates clearly, sustaining a evident hopeless expression. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
A female athlete speaks fluidly, with a moderate hopeless demeanor. Keep the character's face directly in the center of the screen at all times. Frame the shot from the shoulders up, leaving a small amount of headroom above the hair. The camera must be completely still, as if mounted on a heavy tripod. Do not zoom in or out, and do not shake. The distance between the camera and the subject must remain constant. Ensure the subject does not drift toward the edges of the frame.  #hopeless_distinct
